,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.356,0.644,False,0.05,1000,0.8354769453232492,0.0660668837723179,0.8100135461733743,gross
random (full universe),sharpe,net,0.35,0.65,False,0.05,1000,0.820405195727131,0.06600481971019623,0.7940477871969692,net
random (full universe),ann_return,gross,0.23,0.77,False,0.05,1000,0.13239694519450584,0.010111142703202729,0.12534227977175116,gross
random (full universe),ann_return,net,0.228,0.772,False,0.05,1000,0.13000830075006134,0.010111142703202729,0.12287172278188006,net
random (non-F-Score names),sharpe,gross,0.236,0.764,False,0.05,1000,0.8468672572661106,0.04951031885825522,0.8100135461733743,gross
random (non-F-Score names),sharpe,net,0.228,0.772,False,0.05,1000,0.8321586438181643,0.04947991333699358,0.7940477871969692,net
random (non-F-Score names),ann_return,gross,0.061,0.939,False,0.05,1000,0.13752936758438386,0.00789842299956663,0.12534227977175116,gross
random (non-F-Score names),ann_return,net,0.061,0.939,False,0.05,1000,0.13514072313993938,0.00789842299956663,0.12287172278188006,net
