,ann_return,ann_vol,sharpe,max_drawdown,nominal_k,effective_n,turnover,cost_drag,net_ann_return,net_sharpe
fscore_EW,0.14876957116246836,0.1968012151554735,0.7559382753045503,-0.2924238376874583,30.0,30.0,0.6979591000449031,0.0027918364001796128,0.14597773476228876,0.7417522023274397
fscore_GMV,0.12139077870617787,0.1720036879746067,0.7057452089288869,-0.36639736759872177,30.0,5.7970936169466665,0.7423205182419726,0.0029692820729678906,0.11842149663320999,0.68848231120889
fscore_GMVsec,0.13192152057711715,0.1702331545269692,0.774946108140277,-0.3184652617744774,30.0,8.063272928876145,0.7458395577501884,0.0029833582310007534,0.12893816234611638,0.757420977743142
fscore_high_EW,0.15478067701529397,0.21102921608206648,0.7334561530812008,-0.2982574884825956,23.0,12.46153846153846,0.8332073754364875,0.00333282950174595,0.151447847513548,0.7176629394038593
value_EW,0.14207645432978633,0.20527694283912615,0.6921208605543706,-0.39155603127407845,30.0,30.0,0.23751145292147516,0.0009500458116859006,0.14112640851810043,0.6874927430534663
universe_EW,0.14477409199466984,0.19199790781839465,0.7540399457456981,-0.30069273429673726,80.0,83.5384615384615,0.10391743468738883,0.0004156697387495553,0.14435842225592027,0.751874975598509
universe_GMV,0.13672209236369848,0.16041616289787156,0.8522962393181176,-0.38237596352662473,80.0,6.37240950854905,0.3550316036269214,0.0014201264145076856,0.1353019659491908,0.843443475426665
fscore_LS,0.012082788928209132,0.07210101153030087,0.16758140658167148,-0.1889548766623116,60.0,60.00000000000001,1.3576805351666765,0.015430722140666707,-0.003347933212457575,-0.04643392847617105
