year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,78,3,0,25,True,78,22,6.769230769230769,7.0,3,0.32144,0.32051282051282054,733,366,0,0,True,6.0
2013,73,2,0,25,True,73,6,5.671232876712328,6.0,4,0.34336,0.3424657534246575,734,367,0,0,True,5.0
2014,81,2,0,25,True,81,16,6.148148148148148,7.0,9,0.30844,0.30864197530864196,736,368,0,0,True,5.0
2015,80,2,0,25,True,80,15,6.4625,7.0,10,0.312944,0.3125,735,367,0,0,True,6.0
2016,79,2,0,25,True,79,16,6.265822784810126,7.0,9,0.31714400000000004,0.31645569620253167,734,367,0,0,True,5.0
2017,82,2,0,25,True,82,12,5.975609756097561,7.0,13,0.304144,0.3048780487804878,735,367,0,0,True,5.0
2018,82,1,0,25,True,82,18,6.475609756097561,7.0,7,0.30614399999999997,0.3048780487804878,750,375,0,0,True,6.0
2019,83,1,0,25,True,83,15,6.409638554216867,7.0,10,0.301552,0.30120481927710846,753,376,0,0,True,6.0
2020,81,0,0,25,True,81,4,5.716049382716049,6.0,3,0.309656,0.30864197530864196,751,375,0,0,True,5.0
2021,81,0,0,25,True,81,1,5.074074074074074,6.0,11,0.310904,0.30864197530864196,735,367,0,0,True,4.0
2022,82,0,7,25,False,7,4,5.414634146341464,6.0,4,0.303416,0.3048780487804878,730,365,0,0,True,5.0
2023,84,1,79,25,False,25,18,6.440476190476191,7.0,7,0.296696,0.2976190476190476,733,366,0,0,True,6.0
2024,81,0,78,25,False,25,13,6.049382716049383,7.0,12,0.308984,0.30864197530864196,733,366,0,0,True,5.0
2025,82,0,79,25,False,25,17,6.219512195121951,7.0,8,0.30470400000000003,0.3048780487804878,733,366,0,0,True,6.0
