,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.334,0.666,False,0.05,5000,0.7637858949574187,0.09881926343201203,0.7218171941318264,gross
random (full universe),sharpe,net,0.3398,0.6602,False,0.05,5000,0.7437336314654187,0.098696446668404,0.70341800530491,net
random (full universe),ann_return,gross,0.4374,0.5626,False,0.05,5000,0.13919609228102187,0.017528623929238495,0.1362912089120134,gross
random (full universe),ann_return,net,0.4414,0.5586,False,0.05,5000,0.13554115894768856,0.017528623929238495,0.13281713305373885,net
random (non-F-Score names),sharpe,gross,0.3062,0.6938,False,0.05,5000,0.7732523652648587,0.0981651791283907,0.7218171941318264,gross
random (non-F-Score names),sharpe,net,0.312,0.688,False,0.05,5000,0.7531368727759606,0.09805116069203193,0.70341800530491,net
random (non-F-Score names),ann_return,gross,0.4122,0.5878,False,0.05,5000,0.14048737970224123,0.017401427043782114,0.1362912089120134,gross
random (non-F-Score names),ann_return,net,0.4158,0.5842,False,0.05,5000,0.13683244636890793,0.017401427043782114,0.13281713305373885,net
