,ID,CatID,Exchange,IndustryName1,IndustryName2,IndustryName3,Code,Name,TotalShares,URL,FirstTradeDate
1336,4485,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,TVA,CTCP Sứ Viglacera Thanh Trì,6300000,https://finance.vietstock.vn/TVA-ctcp-su-viglacera-thanh-tri.htm,2017-04-10 17:00:00
1337,1352,1,HOSE,Tài chính,Dịch vụ tài chính,Thị trường vốn,TVB,CTCP Chứng khoán T-Cap,112097019,https://finance.vietstock.vn/TVB-ctcp-chung-khoan-t-cap.htm,2018-06-28 17:00:00
1338,3727,2,HNX,Tài chính,Dịch vụ tài chính,Thị trường vốn,TVC,CTCP Tập đoàn Quản lý tài sản T-Corp,96155570,https://finance.vietstock.vn/TVC-ctcp-tap-doan-quan-ly-tai-san-t-corp.htm,2014-09-22 17:00:00
1339,1718,2,HNX,Năng lượng,Năng lượng,Dầu khí,TVD,CTCP Than Vàng Danh - Vinacomin,44962864,https://finance.vietstock.vn/TVD-ctcp-than-vang-danh-vinacomin.htm,2011-01-10 17:00:00
1340,1919,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải,2029589,https://finance.vietstock.vn/TVG-ctcp-tu-van-dau-tu-va-xay-dung-giao-thong-van-tai.htm,2010-01-24 17:00:00
1341,4720,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,TVH,CTCP Tư vấn Xây dựng công trình Hàng hải,4004000,https://finance.vietstock.vn/TVH-ctcp-tu-van-xay-dung-cong-trinh-hang-hai.htm,2019-01-16 17:00:00
1342,3213,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,TVM,CTCP Tư vấn Đầu tư mỏ và Công Nghiệp - Vinacomin,2400000,https://finance.vietstock.vn/TVM-ctcp-tu-van-dau-tu-mo-va-cong-nghiep-vinacomin.htm,2015-12-14 17:00:00
1343,3022,5,UPCoM,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,TVN,Tổng Công ty Thép Việt Nam - CTCP,678000000,https://finance.vietstock.vn/TVN-tong-cong-ty-thep-viet-nam-ctcp.htm,2016-01-17 17:00:00
1344,1371,1,HOSE,Tài chính,Dịch vụ tài chính,Thị trường vốn,TVS,CTCP Chứng khoán Thiên Việt,228639917,https://finance.vietstock.vn/TVS-ctcp-chung-khoan-thien-viet.htm,2015-01-14 17:00:00
1345,2287,1,HOSE,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,TVT,Tổng Công ty Việt Thắng - CTCP,21000000,https://finance.vietstock.vn/TVT-tong-cong-ty-viet-thang-ctcp.htm,2017-07-16 17:00:00
1346,4396,5,UPCoM,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,TW3,CTCP Dược Trung ương 3,1750000,https://finance.vietstock.vn/TW3-ctcp-duoc-trung-uong-3.htm,2016-10-17 17:00:00
1347,1008,2,HNX,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,TXM,CTCP VICEM Thạch cao Xi măng,7000000,https://finance.vietstock.vn/TXM-ctcp-vicem-thach-cao-xi-mang.htm,2006-12-10 17:00:00
