test,mean,sd,T,t,p_two_sided,p_one_sided
t(level) F-score,0.22025668789518998,0.2146931302398899,14,3.8386186941731877,0.002051323910021403,0.0010256619550107016
t(level) null,0.17003112296860218,0.22368401114521155,14,2.844182755753296,0.013810102508129514,0.006905051254064757
t(spread) F-score - null,0.05022556492658782,0.1272408438098446,14,1.4769381464752724,0.1635035032476694,0.0817517516238347
