metric,fscore,fscore_sd,null_mean,null_sd,null_p05,null_p95,z,p_mc,win_rate
CAGR,0.2022689674182469,0.01293208480018604,0.14961797328504936,0.024863827497408824,0.11034853645902534,0.19164891725021047,2.117573979254986,0.018490754622688656,0.96846325
mean annual return,0.22025668789518996,0.014161786747418081,0.17003112296860223,0.027525086526540423,0.12665030178228365,0.21622400136015593,1.824719601813382,0.0384807596201899,0.94517825
annual volatility,0.22034477026643137,0.017533270720192673,0.24160523259417846,0.0435435920201139,0.18250036333417657,0.3231526136555018,-0.4882569705762064,0.3423288355822089,0.34636075
Sharpe (rf=0%),1.0029141723157775,0.06724044492405841,0.7144223279840927,0.11713015474566485,0.5372179579175013,0.9254962614117184,2.4630023323892374,0.013993003498250875,0.97669625
max drawdown,-0.11463324154607392,0.016756921976005618,-0.10207353656871768,0.0423020692283335,-0.17572584360378984,-0.035480217338116696,-0.29690521542960074,0.6341829085457271,0.37872725
turnover / rebalance,0.8736717948717952,0.010036041532303792,0.9581358974358976,0.009800231849151925,0.9410256410256411,0.9743589743589743,-8.618582076852753,0.0009995002498750624,0.0
