cagr,mean_ann,vol_ann,sharpe,mdd,turnover
0.12836733856938198,0.14242205352653076,0.19124489577114284,0.74471035136521,-0.12654899257642427,0.9538461538461539
0.13958043850116963,0.16007678877395026,0.24382227985101212,0.6565306044704584,-0.10788108211093927,0.9666666666666668
0.15954618915180863,0.17327344971494368,0.19078251170504926,0.9082250158380624,-0.10782567897835837,0.9615384615384616
0.12023625202632804,0.13325925896483154,0.18978604563021217,0.7021552007278764,-0.03708638981845047,0.958974358974359
0.16750929856618257,0.2095845004462182,0.39779492728944205,0.5268656940256081,-0.11166092785937576,0.958974358974359
0.15811218056631526,0.19312311288069273,0.33937839381801643,0.5690495222988485,-0.13245447919305586,0.9538461538461539
0.18866103641516263,0.20266195641880028,0.1899079382396386,1.0671589523712683,-0.03904671349901068,0.9512820512820513
0.14247462786409448,0.17258239967869088,0.30468823304399084,0.5664229233748369,-0.13251336530732916,0.9564102564102565
0.1590775670374016,0.17466463725529108,0.2024323058417367,0.8628298557832236,-0.14037672181035765,0.9615384615384616
0.16062268011539316,0.17786989850904253,0.21363386406623133,0.8325922450847907,-0.10543693093894002,0.9641025641025641
0.1628506965358405,0.1790300233853354,0.210860650180778,0.8490442537848901,-0.06693840519368421,0.958974358974359
0.12981302459679012,0.14898432955174543,0.23169570973146916,0.643017213069743,-0.08226534252814688,0.9487179487179488
0.146799886881388,0.1641967927712668,0.22552689338289036,0.7280585934046464,-0.06958469969207814,0.9641025641025641
0.14084049633019102,0.16218990163145827,0.25476945835739384,0.6366143833611964,-0.08714064783490227,0.958974358974359
0.1084918396881176,0.12561895372916218,0.21060423826749883,0.5964692579909401,-0.11976784844953925,0.9538461538461539
0.1386448024909035,0.15745286926416188,0.23852660009340385,0.660106123185026,-0.05971056628173721,0.958974358974359
0.16327838444325615,0.18531946713661376,0.23848357951005794,0.7770743273701911,-0.14209328231091656,0.935897435897436
0.11955514699751357,0.13328170367880818,0.1944051125753045,0.6855874411594004,-0.06465422039657431,0.9435897435897437
0.11973371314928238,0.13785205569835027,0.22609789332441857,0.6097007524990603,-0.0687314965235919,0.9692307692307692
0.1703298890673901,0.19407231431724842,0.2746215209249647,0.706690115412605,-0.12199789621028478,0.9538461538461539
0.17691123438150247,0.21619638567149616,0.380227164320243,0.5685979486973388,-0.06168579065686597,0.9615384615384616
0.1193979239298566,0.14258693048414842,0.25846837485324614,0.5516610322833763,-0.13741697598543823,0.9641025641025642
0.1624034117273021,0.18389901760837837,0.2626766236002259,0.7000966248456842,-0.024481833781614726,0.9384615384615386
0.13330998133934036,0.15260844074837004,0.2379415904724613,0.6413693396154403,-0.07160130090181016,0.9564102564102565
0.13998041589591237,0.1574133486172436,0.21842472847022687,0.7206754918260108,-0.13786815568857047,0.9743589743589743
0.1427124220577476,0.15725676118748919,0.1963253925258042,0.8010006202678037,-0.028571129215661628,0.9564102564102565
0.14205537910881172,0.1612621017733873,0.22746438303945862,0.7089553960868366,-0.1206024358879213,0.958974358974359
0.16661854851943603,0.18035014148208492,0.1946187295593851,0.9266844043756521,-0.0819482791582904,0.9692307692307693
0.145517711653826,0.16920351912143736,0.2605320975985793,0.6494536399969476,-0.1623911698144398,0.958974358974359
0.14604399114182987,0.17958995707529063,0.3445804739734989,0.5211843695156755,-0.10497501803199583,0.9641025641025641
0.11756531139571602,0.13838808162793406,0.2350910127971488,0.5886574734668566,-0.154474205046907,0.958974358974359
0.1285708527895566,0.15842852980589908,0.30156403413468214,0.5253561826777493,-0.10646455722675463,0.9461538461538462
0.1303317006546354,0.14491588661587582,0.18834334032011005,0.7694240017702535,-0.26959595382232526,0.9487179487179488
0.17772536218503232,0.19808331526800724,0.23900701142947697,0.8287761688801127,-0.11902938940410901,0.958974358974359
0.11412674613913665,0.12961225503681031,0.19891776064623698,0.6515871414182958,-0.15195209382149,0.958974358974359
0.10536440278024539,0.13106473217736675,0.27160587987136936,0.48255484100505514,-0.157177832497841,0.9461538461538462
0.16420763011305994,0.18226547315256367,0.22261704105373267,0.8187399863452977,-0.13201504539614117,0.958974358974359
0.1504938005905183,0.1759625096137713,0.27493096873149236,0.640024332019223,-0.08519045994600538,0.9538461538461539
0.16482774432782898,0.1814817638540751,0.21879728754331526,0.829451616570645,-0.0771973921362219,0.9692307692307692
0.1202482946674206,0.13262237169962418,0.17531448883117695,0.7564826648602666,-0.14635296070138426,0.9666666666666668
0.1466584137162943,0.16788872776434507,0.260384951251916,0.6447712394942398,-0.06270172833491228,0.958974358974359
0.15577191415841796,0.17214260496115877,0.22081316158704367,0.7795848930558464,-0.06483650658454232,0.9743589743589745
0.15000999361314582,0.16367562711758613,0.19622580420166685,0.8341187734380338,-0.09086994368973167,0.9512820512820513
0.11810264862425113,0.13590538036862018,0.2279051582529391,0.5963242842348766,-0.16674253550660967,0.9538461538461539
0.15195241559232486,0.18513341978254544,0.33355740606355155,0.5550271599943807,-0.14036080305629572,0.9717948717948718
0.10125661178122614,0.11457984207219442,0.19539535088915794,0.5864000425332137,-0.07725958406425282,0.9794871794871796
0.11000993158343375,0.12111357325958472,0.1704851701689488,0.7104053281558894,-0.0649683537265231,0.9512820512820513
0.1206130006943773,0.1360869394202576,0.20922636188504257,0.650429220267326,-0.026595749265383106,0.9717948717948719
0.1503030640135259,0.17274012803500116,0.2501916429734466,0.6904312469514997,-0.08638871863204867,0.9743589743589743
0.12326519905143907,0.14559846188021905,0.26829409439674884,0.5426823210834841,-0.11781379290738303,0.9743589743589743
0.13971550997068527,0.16022444189236268,0.2569564399536149,0.6235470958473972,-0.03548795415686312,0.9692307692307693
0.16990876981957226,0.18734999967604957,0.22982264336344926,0.8151938248302538,-0.06851338462397716,0.9615384615384616
0.1547563306345361,0.17409235270023257,0.22206089089320996,0.7839847530106251,-0.15550440091364592,0.9615384615384616
0.16519756995439328,0.1986989064699221,0.3206428574894445,0.619689170766772,-0.12394910577446117,0.9410256410256411
0.12817872687891585,0.1476418692629291,0.23569226610076785,0.6264179631579694,-0.13205922553431648,0.958974358974359
0.15606125044039043,0.1763967817360488,0.24104911239240912,0.7317877256850821,-0.11324325143421077,0.9820512820512821
0.1491400705493069,0.1763484791190921,0.27553794624873934,0.6400152193915793,-0.2069972540762648,0.9692307692307693
0.14127469415711724,0.15834234020033305,0.21362738350950888,0.7412080679876182,-0.07539798877261905,0.9615384615384616
0.17002801637440368,0.18541344921976002,0.20722923026045786,0.8947263327027829,-0.06831855439762169,0.9564102564102565
0.1067711110904932,0.12583857207248575,0.2276422615497893,0.5527909062920756,-0.14059957055720684,0.9641025641025641
0.20870826433412737,0.24570482928398016,0.3613506080401588,0.6799624071939397,-0.03575470692518623,0.9564102564102565
0.12791546851153446,0.14743449699216327,0.2294291247858431,0.6426145639956724,-0.14469247487331405,0.9564102564102565
0.13906466919725036,0.16209972991071658,0.2680166988410645,0.6048120531730102,-0.07631233265217763,0.9487179487179488
0.16892874023083748,0.1919328735001362,0.2670163787409055,0.7188056193600572,-0.028082843990152484,0.9564102564102565
0.1184274887519503,0.13236275242288417,0.1934634948563542,0.6841743064817626,-0.17608539913671983,0.9666666666666667
0.13827200368804982,0.15465834991809307,0.21258509059012465,0.7275126843974331,-0.08282578782292627,0.9666666666666667
0.13003573384873657,0.14569657236720163,0.20644387208208634,0.7057442340030788,-0.08057146881888866,0.9564102564102565
0.13537689370475992,0.15359273163198675,0.2186707462285223,0.702392680690239,-0.12407473189506169,0.9564102564102565
0.15746018398026052,0.17039213862089247,0.1834253651096965,0.9289453425320452,-0.05604561276705111,0.9641025641025641
0.1723753225139728,0.19945896352590164,0.3012153276837102,0.6621806568068895,-0.08254135345298386,0.9641025641025641
0.1797025029545536,0.19294041707109888,0.18771095143805772,1.0278591397730292,-0.06456715358787923,0.9512820512820513
0.16347799704812926,0.17672066438246312,0.18793470473882182,0.9403301249125692,-0.08201197741091137,0.9615384615384616
0.19410702985952755,0.21623006345747683,0.24728881032661787,0.8744029427448868,-0.16822472935109134,0.9512820512820513
0.1350606253807134,0.15450577519725606,0.2394481352235233,0.6452577926866121,-0.09489804132553825,0.9666666666666667
0.12045912329209774,0.13810283180622024,0.21558087997529127,0.6406079788803574,-0.12896723586218917,0.9666666666666667
0.12124796958904427,0.13974164395724795,0.22266273850130358,0.6275933050038807,-0.14524173022516196,0.9461538461538462
0.10820092425157535,0.12287211716292519,0.20066238904736602,0.6123325738632636,-0.1058133686793501,0.9717948717948718
0.15058007959656639,0.16455230424245942,0.19232388867148867,0.8555999225012224,-0.1052113943005013,0.9717948717948719
0.1749184091145468,0.2153893424659524,0.37173984834883483,0.5794088081292658,-0.10708846742460287,0.9512820512820513
0.1053242453503791,0.1164157079887845,0.16870422909040486,0.6900580300592222,-0.10905771624901706,0.9666666666666667
0.1507114605693589,0.17144669727897122,0.24690296695763367,0.6943889714714928,-0.08185481426676122,0.9487179487179488
0.08979393445593686,0.10662916897182383,0.2205952891400917,0.4833701090693178,-0.09087715523120732,0.958974358974359
0.18957523002553933,0.20577220263240995,0.20281010398125007,1.0146052814579383,-0.1299377694758057,0.9538461538461539
0.14312839680705247,0.16117762134667207,0.22939514808938774,0.7026200104453232,-0.07837289352034071,0.9717948717948718
0.13470337091666185,0.1556095042797186,0.24956029751366582,0.6235346961437145,-0.12020414446718009,0.9410256410256411
0.1923227417512765,0.2149509530863177,0.2595550626334073,0.8281516488465188,-0.06476985242923405,0.958974358974359
0.12362375916342105,0.13913697966735195,0.20699809222485105,0.6721655169469621,-0.1187315999381745,0.9717948717948719
0.16161517093544164,0.176806964344397,0.21069950327105919,0.8391427677783352,-0.018414531745378437,0.9692307692307693
0.13634116243950056,0.15374044415578422,0.22522986040189824,0.6825935241510654,-0.08348240952166719,0.9615384615384616
0.17323557180571414,0.19037350186640528,0.22131543579687227,0.8601908004335219,0.0,0.9794871794871796
0.15890383770150818,0.18469463090616609,0.27779353063966766,0.6648629666820345,-0.11849077908054761,0.9564102564102566
0.10831338916931643,0.1252021659601112,0.20672473220131798,0.6056467681776151,-0.09590219693895108,0.9769230769230769
0.14222267982545667,0.1661133767227214,0.27003480587682943,0.6151554285135022,-0.1455289956254634,0.9538461538461539
0.10684773868440023,0.12458732604397285,0.23046958748809737,0.5405803316691716,-0.09743888313276128,0.9564102564102565
0.09895766597537103,0.12333368321196558,0.25841759481664395,0.477265038007474,-0.17670139129854467,0.9692307692307693
0.1897851613460102,0.21827020459696084,0.2994334689429327,0.728943913208846,-0.05319889409710443,0.9512820512820513
0.17888745836043118,0.20855089217133566,0.32225104821982875,0.6471690110037107,-0.0961604153663087,0.9461538461538462
0.18174291612491178,0.20563210529108958,0.2634655474025707,0.7804895452872528,-0.11925691271208017,0.9487179487179488
0.17761698692191885,0.20585759640110443,0.30995903042894807,0.6641445358640492,-0.01579825546426994,0.9435897435897437
0.1771001689916858,0.1982871806219396,0.24279890188899683,0.8166724770138903,-0.09687933149316863,0.9538461538461539
0.1547781318685666,0.17343422117919122,0.2231608849621729,0.7771712377309731,-0.1917254258097113,0.9487179487179488
