test,stat,p,ci_lo,ci_hi
t-test (two-sided),1.4769381464752724,0.1635035032476694,-0.023241111033734038,0.12369224088690968
"t-test (one-sided, >0)",1.4769381464752724,0.0817517516238347,,
bootstrap BCa (20k),0.03263995161839678,,-0.011715085609841382,0.11679969134800179
Wilcoxon signed-rank (>0),76.0,0.0765380859375,,
sign test (10/14 years),10.0,0.08978271484375,,
