arm,K,cagr,p_cagr,sharpe,p_sharpe,mdd,p_mdd,turnover,p_turnover,null_cagr,spread,spread_sd,t_spread,p_spread,wins
f_rand,10,0.23619566501033182,0.017991004497751123,1.0135544946508426,0.017491254372813594,-0.15458876228584842,0.46976511744127936,0.9285500000000002,0.0009995002498750624,0.1422170142496348,0.09139842871738689,0.17401086318854253,1.9652888313036045,0.07111560794327232,10
f_rand,20,0.21413004640452757,0.01999000499750125,1.0134107651370785,0.01699150424787606,-0.12143677873218352,0.543728135932034,0.9011076923076922,0.0009995002498750624,0.14776403083216058,0.06390357994082461,0.14734351228041526,1.6227745506149924,0.12862663331837,10
f_rand,30,0.2022689674182469,0.018490754622688656,1.0029141723157775,0.013993003498250875,-0.11463324154607392,0.6341829085457271,0.8736717948717952,0.0009995002498750624,0.14961797328504936,0.05022556492658782,0.1272408438098446,1.4769381464752724,0.1635035032476694,10
f_rand,50,0.1922550900450326,0.014992503748125937,1.0015622713875052,0.006496751624187906,-0.09442333449955322,0.5687156421789106,0.8397915384615385,0.0009995002498750624,0.15064727856175472,0.03884187758192615,0.1073377879515687,1.3539779507675158,0.1988138360582671,9
f_rand,100,0.19239167772726137,0.0009995002498750624,0.9940312754101844,0.0009995002498750624,-0.07638636107748763,0.45827086456771615,0.7879419230769231,0.0009995002498750624,0.1525172079430297,0.037959170894235506,0.08214927605473826,1.7289283484079903,0.10748018314339743,10
f_bm,10,0.28786531616131783,0.0014992503748125937,1.1196659387386603,0.00849575212393803,-0.05448097860697554,0.05847076461769116,0.9384615384615386,0.0009995002498750624,0.1422170142496348,0.14351660006552297,0.16618021920928314,3.231371033898891,0.006559265483096499,12
f_bm,20,0.25418472179629026,0.001999000499750125,1.013013369419318,0.01699150424787606,-0.09327391260299556,0.3173413293353323,0.8923076923076922,0.0009995002498750624,0.14776403083216058,0.10928249029489286,0.1615832109121623,2.5305700681936374,0.025097875139896912,10
f_bm,30,0.24906648127975384,0.0004997501249375312,1.008217081781508,0.013493253373313344,-0.08932556363469935,0.3983008495752124,0.8769230769230769,0.0009995002498750624,0.14961797328504936,0.10339914744291112,0.1458358853796726,2.652873692978054,0.019902645873799474,11
f_bm,50,0.21992228041501094,0.0009995002498750624,0.9974552434853745,0.006496751624187906,-0.10687240460798897,0.7161419290354822,0.8507692307692309,0.0009995002498750624,0.15064727856175472,0.07069898909776925,0.09940863081382789,2.6610505811163634,0.01959534836300544,10
f_bm,100,0.20659054445442337,0.0004997501249375312,0.9463951247068981,0.0029985007496251873,-0.07750846054375604,0.47476261869065467,0.7923076923076923,0.0009995002498750624,0.1525172079430297,0.055440280072491945,0.07033981512252385,2.9490912521837256,0.011291552694057554,11
bm_only,10,0.15211760750722636,0.38580709645177413,0.32088002633194895,0.9865067466266867,-0.2590320881803325,0.8745627186406797,0.723076923076923,0.0009995002498750624,0.1422170142496348,0.13035074469788577,0.7433028279783491,0.6561630178333385,0.523164050277748,5
bm_only,20,0.12754607338699908,0.7401299350324838,0.31855142746753196,1.0,-0.3215323891613304,0.9995002498750625,0.6692307692307693,0.0009995002498750624,0.14776403083216058,0.07487157225037815,0.5695363423421247,0.4918804131409085,0.631005118487728,5
bm_only,30,0.12980126473956277,0.7901049475262368,0.34422361852503075,1.0,-0.2297094091129862,0.9965017491254373,0.6307692307692309,0.0009995002498750624,0.14961797328504936,0.05097634319897069,0.44542201723532304,0.42821415130088547,0.6755044529405141,4
bm_only,50,0.1732626264090913,0.12893553223388307,0.4700037173623983,0.9995002498750625,-0.12517471616935594,0.863568215892054,0.56,0.0009995002498750624,0.15064727856175472,0.06366976870150423,0.2969463654484129,0.8022676418902265,0.4368191905088523,7
bm_only,100,0.17430031603100105,0.04147926036981509,0.5421423187331746,0.9995002498750625,-0.09792708530871908,0.775112443778111,0.48307692307692296,0.0009995002498750624,0.1525172079430297,0.04622896819832027,0.19747902087790342,0.875905499091611,0.3969775670456023,8
