formation_year,symbol,period,f_score,bm,fwd_return_1y,hold_freq
2012,TTC,2011,9.0,3.430469656211812,1.3888888888888888,1.0
2012,PJT,2011,9.0,2.192628999559083,0.0897435897435898,1.0
2012,LBM,2011,9.0,2.0812780332228664,0.5541958041957993,1.0
2012,TMP,2011,9.0,1.4664780955009042,0.3551401869158879,1.0
2012,TBC,2011,9.0,1.2732259765559055,0.3162393162393162,1.0
2012,BMC,2011,9.0,0.8855057218151695,0.3078640849797267,1.0
2012,TXM,2011,8.0,5.413523955204082,-0.075000000000001,1.0
2012,HVX,2011,8.0,4.05664962002079,-0.1224489795918367,1.0
2012,MNC,2011,8.0,3.623533777829547,0.1896144767899341,1.0
2012,BCC,2011,8.0,3.489791834341057,-0.0185185185185184,1.0
2012,HOM,2011,8.0,3.42445613408033,0.0649490069779969,1.0
2012,MHC,2011,8.0,3.115023923587238,0.1599999999999999,1.0
2012,PDC,2011,8.0,2.7712850550114942,-0.1388888888888888,1.0
2012,TPP,2011,8.0,2.517125881556604,1.0327047027930227,1.0
2012,VPK,2011,8.0,1.9423562861346153,2.0476163894161106,1.0
2012,RAL,2011,8.0,1.87591611864233,0.3097160643135925,1.0
2012,CAP,2011,8.0,1.7853179519908635,2.2144404332129928,1.0
2012,BTT,2011,8.0,1.7550778906283422,0.5307900141816186,1.0
2012,CLW,2011,8.0,1.6921521340265906,0.2245052983402324,1.0
2012,NLC,2011,8.0,1.6223175322,0.3383458646616506,1.0
2012,HVG,2011,8.0,1.5758362358406242,0.2436444885799358,1.0
2012,PVS,2011,8.0,1.3508205982575467,0.3119012135405608,1.0
2012,ACL,2011,8.0,0.9419242503967382,-0.2899183595974925,1.0
2012,DPM,2011,8.0,0.9096726455668952,0.3069061660881056,1.0
2012,SHC,2011,8.0,0.7269958948455036,-0.368421052631579,1.0
2012,TLT,2011,8.0,0.5302104388497093,-0.7567567567567568,1.0
2012,VNS,2011,7.0,1.3457038665782484,1.159375724329749,0.178
2012,VTF,2011,7.0,1.3358860895889384,0.0122550563921635,0.173
2012,VHC,2011,7.0,0.9282686125096696,-0.1204057279236294,0.172
2012,ITA,2011,7.0,2.631011890865721,-0.0144927536231884,0.171
2012,BTP,2011,7.0,5.055067879530631,2.0,0.1665
2012,THB,2011,7.0,1.7057374954376774,0.351425438596491,0.166
2012,TLH,2011,7.0,2.715092159417829,0.4162875816993407,0.1645
2012,MAC,2011,7.0,3.362511971200848,-0.0243902439024389,0.164
2012,BBC,2011,7.0,3.3551733048029333,0.0858585858585858,0.163
2012,VPC,2011,7.0,5.259506854647343,-0.5151515151515151,0.1625
2012,BTS,2011,7.0,2.799281598252971,-0.328125,0.1625
2012,TTG,2011,7.0,3.625978596666666,0.1351351351351384,0.1595
2012,PVD,2011,7.0,0.8874331364177718,0.362777075151439,0.159
2012,ELC,2011,7.0,0.6410151390552035,0.1325468424705094,0.158
2012,MTG,2011,7.0,4.229406447971077,0.026315789473684,0.1575
2012,PVG,2011,7.0,1.5889962136564593,-0.1509539842873138,0.157
2012,PET,2011,7.0,1.4463809325298531,0.9584492039150752,0.157
2012,POV,2011,7.0,4.170436388733333,-0.1884057971014492,0.1555
2012,AGF,2011,7.0,2.3816428178016538,0.2655702917771854,0.1555
2012,SJE,2011,7.0,3.864335452022936,0.3565217391304345,0.1545
2012,GIL,2011,7.0,0.8337257213380795,-0.2941176470588231,0.154
2012,VIS,2011,7.0,1.5177239752289855,0.0247933884297519,0.1525
2012,COM,2011,7.0,0.945572080363036,-0.0393755188519718,0.15
2012,TC6,2011,7.0,2.525098152883214,-0.1331775700934584,0.1475
2012,TDN,2011,7.0,2.2673904835069445,-0.0014756517461885,0.1395
2013,PVT,2012,9.0,2.715335836890506,1.5113207547169822,1.0
2013,KHP,2012,9.0,1.5985135923816474,0.2530037818015871,1.0
2013,SGD,2012,9.0,1.3069048821995588,0.0770458171871479,1.0
2013,TBC,2012,9.0,1.153629548075167,0.5853250818039424,1.0
2013,TMP,2012,9.0,1.1130954374819877,0.6285374554102279,1.0
2013,SMB,2012,9.0,1.07174970632609,0.1444805194805185,1.0
2013,PVD,2012,9.0,0.885746775108167,0.9507376592849286,1.0
2013,MAC,2012,8.0,3.7114631729292937,0.5249999999999999,1.0
2013,AMV,2012,8.0,3.521179498995628,0.2926829268292683,1.0
2013,PRC,2012,8.0,3.1803106521126763,0.6577355229040676,1.0
2013,SJE,2012,8.0,3.0431174094658293,1.379807692307692,1.0
2013,HVX,2012,8.0,2.6351218067052766,0.0930232558139534,1.0
2013,PDC,2012,8.0,2.402440853771429,0.1612903225806452,1.0
2013,L10,2012,8.0,2.361698468666667,0.4247491638795957,1.0
2013,NT2,2012,8.0,2.2643639432804363,0.604166666666667,1.0
2013,GMD,2012,8.0,2.217839338417068,0.3891217843786967,1.0
2013,TTC,2012,8.0,1.956313607488675,0.4566596194503165,1.0
2013,SBC,2012,8.0,1.4739277136666666,-0.3076923076923077,1.0
2013,GDW,2012,8.0,1.432274653431579,0.5623179965055374,1.0
2013,UNI,2012,8.0,1.3568087616404774,-0.0144927536231884,1.0
2013,DNM,2012,8.0,1.279898492462048,1.1781764856521098,1.0
