formation_year,fscore,null_mean,spread,null_p05,null_p95,pctile,beat_null
2012,0.33220816741918535,0.03905854841785796,0.2931496190013274,-0.0863960368215701,0.1755573770793307,100.0,True
2013,0.4254600618848886,0.38709040488763014,0.03836965699725847,0.23561054810600013,0.5505943500960667,67.45,True
2014,0.5227769110038287,0.2665849205596782,0.25619199044415053,0.10291617360528428,0.47926823454678963,96.95,True
2015,0.3287003465336167,0.25952648136582945,0.06917386516778723,0.07054466045998982,0.4968819858479996,73.9,True
2016,0.11271403962930816,0.1799304997643077,-0.06721646013499953,0.031892110433120305,0.3698403029039769,28.449999999999996,False
2017,0.08110744866264823,-0.008926574825441194,0.09003402348808942,-0.11784337782009387,0.1179459925143705,88.85,True
2018,0.20997427098817098,0.1283295479323317,0.08164472305583928,-0.010806325196777959,0.3107117148606087,80.30000000000001,True
2019,0.006317252996334163,-0.013365585857621372,0.019682838853955536,-0.11515696810475116,0.10432098196552353,63.1,True
2020,0.642001101950844,0.8078576751185023,-0.16585657316765823,0.5428935440458693,1.1797054658230535,18.55,False
2021,0.0197667249688987,0.1449149600628558,-0.12514823509395712,0.012939926378020657,0.30180523988641017,6.2,False
2022,-0.11049632083125331,-0.07831646662152758,-0.03217985420972573,-0.16077250951101207,0.010313449199595195,27.0,False
2023,0.31174216822497985,0.18055255677194848,0.13118961145303137,0.05073620689841258,0.33929151467533386,91.8,True
2024,0.09571600858150633,0.051978412995450314,0.04373759558605602,-0.06138197330034774,0.19663473209556956,73.1,True
2025,0.10560544851970309,0.035220340988628245,0.07038510753107485,-0.06718583761482191,0.16540062978085654,85.0,True
