score_year,fiscal_year,ticker,fscore,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_eq_offer,f_dmargin,f_dturn,sector
2012,2012,1928.T,6,1,1,0,0,1,0,1,1,1,Construction
2012,2012,1963.T,6,1,1,1,1,0,0,1,0,1,Construction
2012,2012,2502.T,6,1,1,0,1,1,1,0,1,0,Foods
2012,2012,2503.T,8,1,1,1,1,1,1,1,1,0,Foods
2012,2012,2802.T,7,1,1,1,1,1,0,1,1,0,Foods
2012,2012,2914.T,8,1,1,1,1,1,0,1,1,1,Foods
2012,2012,3382.T,6,1,1,1,1,1,1,0,0,0,Retail
2012,2012,3402.T,8,1,1,1,1,1,0,1,1,1,Textiles & apparel
2012,2012,3407.T,6,1,1,0,1,1,1,1,0,0,Chemicals
2012,2012,4063.T,5,1,1,0,0,1,1,1,0,0,Chemicals
2012,2012,4188.T,7,1,1,0,1,1,1,1,0,1,Chemicals
2012,2012,4452.T,7,1,1,1,1,0,1,1,0,1,Chemicals
2012,2012,4502.T,4,1,1,0,1,0,0,0,0,1,Pharmaceuticals
2012,2012,4503.T,5,1,1,1,1,0,0,0,0,1,Pharmaceuticals
2012,2012,4523.T,5,1,1,0,1,1,1,0,0,0,Pharmaceuticals
2012,2012,4568.T,5,1,1,0,1,1,0,0,1,0,Pharmaceuticals
2012,2012,4578.T,7,1,1,1,1,1,0,1,0,1,Pharmaceuticals
2012,2012,4661.T,7,1,1,1,1,0,1,0,1,1,Services
2012,2012,4901.T,5,1,1,0,1,1,0,0,0,1,Chemicals
2012,2012,4911.T,6,1,1,1,1,0,0,0,1,1,Chemicals
2012,2012,5020.T,6,1,1,0,1,1,1,0,0,1,Petroleum
2012,2012,5108.T,7,1,1,1,1,1,0,0,1,1,Rubber
2012,2012,5201.T,6,1,1,0,1,0,1,1,0,1,Glass & ceramics
2012,2012,5401.T,6,1,1,0,1,1,1,1,0,0,Steel
2012,2012,5411.T,3,0,1,0,1,0,1,0,0,0,Steel
2012,2012,5713.T,5,1,1,0,1,0,1,1,0,0,Nonferrous metals
2012,2012,5802.T,6,1,1,0,1,1,0,1,0,1,Nonferrous metals
2012,2012,6273.T,7,1,1,1,0,1,1,1,1,0,Machinery
2012,2012,6301.T,7,1,1,1,0,1,1,1,1,0,Machinery
2012,2012,6326.T,7,1,1,1,1,1,0,1,0,1,Machinery
2012,2012,6367.T,7,1,1,1,1,1,0,1,0,1,Machinery
2012,2012,6501.T,7,1,1,1,1,1,1,0,0,1,Electric machinery
2012,2012,6502.T,4,1,1,0,1,0,0,1,0,0,
2012,2012,6503.T,4,1,1,0,0,0,1,1,0,0,Electric machinery
2012,2012,6594.T,5,1,1,0,1,1,0,1,0,0,Electric machinery
2012,2012,6702.T,6,1,1,0,1,0,1,1,0,1,Electric machinery
2012,2012,6752.T,3,0,1,0,1,1,0,0,0,0,Electric machinery
2012,2012,6758.T,4,0,1,0,1,1,0,1,0,0,Electric machinery
2012,2012,6861.T,4,1,1,0,0,0,1,1,0,0,Electric machinery
2012,2012,6902.T,5,1,1,0,1,0,1,0,0,1,Electric machinery
2012,2012,6954.T,6,1,1,1,1,0,0,1,0,1,Electric machinery
2012,2012,6971.T,6,1,1,0,1,1,1,1,0,0,Electric machinery
2012,2012,6981.T,4,1,1,0,1,0,0,1,0,0,Electric machinery
2012,2012,6988.T,5,1,1,0,1,1,1,0,0,0,Chemicals
2012,2012,7011.T,6,1,1,0,1,1,0,0,1,1,Machinery
2012,2012,7201.T,6,1,1,1,1,0,1,0,0,1,Automotive
2012,2012,7202.T,6,1,1,1,0,1,0,1,1,0,Automotive
2012,2012,7203.T,4,1,1,0,1,1,0,0,0,0,Automotive
2012,2012,7267.T,5,1,1,0,1,0,1,1,0,0,Automotive
2012,2012,7269.T,7,1,1,1,1,1,0,1,0,1,Automotive
2012,2012,7731.T,6,1,1,1,0,1,1,0,1,0,Precision instruments
2012,2012,7741.T,5,1,1,0,1,1,0,0,1,0,Precision instruments
2012,2012,7751.T,6,1,1,0,1,1,1,1,0,0,Electric machinery
2012,2012,7752.T,4,0,1,0,1,0,0,1,0,1,Electric machinery
2012,2012,7912.T,4,0,1,0,1,0,1,1,0,0,Other manufacturing
2012,2012,7974.T,3,0,0,0,0,1,1,1,0,0,Services
2012,2012,8001.T,6,1,1,1,0,1,0,1,0,1,Trading companies
2012,2012,8002.T,7,1,1,1,0,1,1,1,0,1,Trading companies
2012,2012,8031.T,5,1,1,1,0,1,0,0,0,1,Trading companies
2012,2012,8035.T,3,1,1,0,0,0,1,0,0,0,Electric machinery
2012,2012,8053.T,7,1,1,1,0,1,1,0,1,1,Trading companies
2012,2012,8058.T,4,1,1,0,1,0,0,0,0,1,Trading companies
2012,2012,8113.T,5,1,1,0,1,1,0,1,0,0,
2012,2012,8267.T,5,1,1,1,1,0,0,0,0,1,Retail
2012,2012,8801.T,6,1,1,0,1,1,0,1,1,0,Real estate
2012,2012,8802.T,4,1,1,0,1,0,0,0,0,1,Real estate
2012,2012,8830.T,7,1,1,1,1,0,1,1,1,0,Real estate
2012,2012,9020.T,8,1,1,1,1,1,1,1,1,0,Railway/bus
2012,2012,9021.T,7,1,1,0,1,1,0,1,1,1,Railway/bus
2012,2012,9022.T,6,1,1,0,1,1,0,1,1,0,Railway/bus
2012,2012,9064.T,6,1,1,0,1,1,0,1,1,0,Land transport
2012,2012,9202.T,7,1,1,1,1,0,1,0,1,1,Air transport
2012,2012,9432.T,6,1,1,0,1,1,1,1,0,0,Communications
2012,2012,9433.T,5,1,1,0,1,0,0,1,0,1,Communications
2012,2012,9437.T,7,1,1,0,1,1,1,1,1,0,
2012,2012,9502.T,5,0,1,0,1,0,1,1,0,1,Electric power
2012,2012,9503.T,4,0,1,0,1,0,1,1,0,0,Electric power
2012,2012,9735.T,5,1,1,0,1,1,0,0,0,1,Services
2012,2012,9983.T,7,1,1,1,1,1,1,0,0,1,Retail
2012,2012,9984.T,6,1,1,1,1,1,0,0,0,1,Communications
2012,2012,7270.T,4,1,1,0,1,0,1,0,0,0,Automotive
2013,2013,1605.T,5,1,1,0,1,0,1,1,0,0,Mining
2013,2013,1878.T,6,1,1,1,1,1,1,0,0,0,
2013,2013,1925.T,8,1,1,1,1,0,1,1,1,1,Construction
2013,2013,1928.T,7,1,1,1,1,0,1,1,1,0,Construction
2013,2013,1963.T,5,1,1,1,1,0,0,1,0,0,Construction
2013,2013,2502.T,7,1,1,0,1,1,1,1,1,0,Foods
2013,2013,2503.T,8,1,1,1,1,1,1,1,1,0,Foods
2013,2013,2802.T,8,1,1,1,1,1,1,1,1,0,Foods
2013,2013,2914.T,8,1,1,1,1,1,0,1,1,1,Foods
2013,2013,3382.T,4,1,1,1,1,0,0,0,0,0,Retail
2013,2013,3402.T,5,1,1,0,1,1,1,0,0,0,Textiles & apparel
2013,2013,3407.T,6,1,1,0,1,0,0,1,1,1,Chemicals
2013,2013,4063.T,6,1,1,1,1,0,1,0,1,0,Chemicals
2013,2013,4188.T,5,1,1,0,1,1,0,1,0,0,Chemicals
2013,2013,4452.T,8,1,1,1,1,1,1,1,0,1,Chemicals
2013,2013,4502.T,4,1,1,0,1,0,1,0,0,0,Pharmaceuticals
2013,2013,4503.T,7,1,1,1,1,1,1,1,0,0,Pharmaceuticals
2013,2013,4523.T,4,1,1,0,1,1,0,0,0,0,Pharmaceuticals
2013,2013,4568.T,6,1,1,1,1,1,0,0,0,1,Pharmaceuticals
2013,2013,4578.T,7,1,1,1,0,1,0,1,1,1,Pharmaceuticals
2013,2013,4661.T,7,1,1,1,1,1,0,0,1,1,Services
2013,2013,4901.T,5,1,1,1,1,0,1,0,0,0,Chemicals
2013,2013,4911.T,4,0,1,0,1,1,0,0,0,1,Chemicals
2013,2013,5020.T,4,1,1,0,1,0,0,1,0,0,Petroleum
2013,2013,5108.T,7,1,1,1,1,1,0,0,1,1,Rubber
2013,2013,5401.T,3,0,1,0,1,0,0,0,0,1,Steel
2013,2013,5411.T,6,1,1,1,1,1,0,0,1,0,Steel
2013,2013,5713.T,6,1,1,1,1,0,0,1,1,0,Nonferrous metals
2013,2013,5802.T,6,1,1,0,1,1,1,1,0,0,Nonferrous metals
2013,2013,6273.T,7,1,1,1,1,1,1,1,0,0,Machinery
2013,2013,6301.T,4,1,1,0,1,0,1,0,0,0,Machinery
2013,2013,6326.T,7,1,1,1,0,0,1,1,1,1,Machinery
2013,2013,6367.T,6,1,1,1,1,0,1,0,0,1,Machinery
2013,2013,6501.T,5,1,1,0,1,0,1,0,1,0,Electric machinery
2013,2013,6502.T,6,1,1,1,1,0,0,1,1,0,
2013,2013,6503.T,5,1,1,0,1,1,0,1,0,0,Electric machinery
2013,2013,6594.T,4,1,1,0,1,0,0,1,0,0,Electric machinery
2013,2013,6702.T,5,0,1,0,1,1,0,1,0,1,Electric machinery
2013,2013,6752.T,6,0,1,0,1,1,0,1,1,1,Electric machinery
2013,2013,6758.T,7,1,1,1,1,0,1,0,1,1,Electric machinery
2013,2013,6861.T,6,1,1,1,0,0,1,1,0,1,Electric machinery
2013,2013,6902.T,8,1,1,1,1,1,0,1,1,1,Electric machinery
2013,2013,6954.T,5,1,1,0,1,0,1,1,0,0,Electric machinery
2013,2013,6971.T,7,1,1,0,1,1,1,1,0,1,Electric machinery
2013,2013,6981.T,7,1,1,1,1,0,0,1,1,1,Electric machinery
2013,2013,6988.T,7,1,1,1,1,1,0,0,1,1,Chemicals
2013,2013,7011.T,8,1,1,1,1,1,1,0,1,1,Machinery
2013,2013,7201.T,5,1,1,0,1,0,1,1,0,0,Automotive
2013,2013,7202.T,8,1,1,0,1,1,1,1,1,1,Automotive
2013,2013,7203.T,7,1,1,1,1,0,1,0,1,1,Automotive
2013,2013,7267.T,7,1,1,1,1,0,0,1,1,1,Automotive
2013,2013,7269.T,7,1,1,1,1,0,1,1,1,0,Automotive
2013,2013,7270.T,9,1,1,1,1,1,1,1,1,1,Automotive
2013,2013,7741.T,7,1,1,1,1,1,1,0,0,1,Precision instruments
2013,2013,7751.T,9,1,1,1,1,1,1,1,1,1,Electric machinery
2013,2013,7752.T,7,1,1,1,1,1,0,1,1,0,Electric machinery
2013,2013,7912.T,7,1,1,1,1,1,0,1,1,0,Other manufacturing
2013,2013,7974.T,5,1,0,1,0,1,0,1,0,1,Services
2013,2013,8001.T,5,1,1,0,0,1,1,1,0,0,Trading companies
2013,2013,8002.T,5,1,1,0,1,1,0,1,0,0,Trading companies
2013,2013,8031.T,4,1,1,0,1,1,0,0,0,0,Trading companies
2013,2013,8035.T,5,1,1,0,1,1,1,0,0,0,Electric machinery
2013,2013,8053.T,4,1,1,0,1,0,1,0,0,0,Trading companies
2013,2013,8058.T,4,1,1,0,1,0,1,0,0,0,Trading companies
2013,2013,8113.T,7,1,1,1,1,1,0,0,1,1,
2013,2013,8267.T,8,1,1,1,1,1,1,0,1,1,Retail
2013,2013,8801.T,8,1,1,1,1,0,1,1,1,1,Real estate
2013,2013,8802.T,4,1,1,0,1,0,0,1,0,0,Real estate
2013,2013,8830.T,5,1,1,0,0,1,1,1,0,0,Real estate
2013,2013,9020.T,9,1,1,1,1,1,1,1,1,1,Railway/bus
2013,2013,9021.T,9,1,1,1,1,1,1,1,1,1,Railway/bus
2013,2013,9022.T,8,1,1,1,1,1,0,1,1,1,Railway/bus
2013,2013,9064.T,7,1,1,1,1,1,0,1,1,0,Land transport
2013,2013,9202.T,7,1,1,1,1,1,1,0,0,1,Air transport
2013,2013,9432.T,7,1,1,1,1,1,0,1,0,1,Communications
2013,2013,9433.T,5,1,1,0,1,1,1,0,0,0,Communications
2013,2013,9437.T,7,1,1,1,1,1,0,1,0,1,
2013,2013,9502.T,6,0,1,1,1,0,1,1,0,1,Electric power
2013,2013,9503.T,4,0,1,1,1,0,0,1,0,0,Electric power
2013,2013,9735.T,7,1,1,1,1,0,0,1,1,1,Services
2013,2013,9983.T,5,1,1,1,0,0,1,0,0,1,Retail
2013,2013,9984.T,4,1,1,1,1,0,0,0,0,0,Communications
2013,2013,4755.T,5,1,1,1,0,1,0,0,0,1,Services
2013,2013,7261.T,8,1,1,1,1,1,0,1,1,1,Automotive
2014,2014,1605.T,5,1,1,0,1,0,1,1,0,0,Mining
2014,2014,1878.T,5,1,1,0,1,1,0,0,0,1,
2014,2014,1925.T,5,1,1,1,0,1,0,0,0,1,Construction
